24	1	0	1	0
24	1	8	1	0
24	1	32	1	0
24	1	40	1	0
24	1	64	1	0
24	1	96	1	0
24	1	128	1	0
24	1	136	1	0
24	1	160	1	0
24	1	168	1	0
24	1	192	1	0
24	1	224	1	0
24	1	234	99	1
24	1	235	9700	1.997745753
24	1	238	4950	1.851342975
24	1	239	9702	1.997790619
24	1	248	99	1
24	1	249	9700	1.997745753
24	1	250	4950	1.851342975
24	1	251	9702	1.997790619
24	1	252	4950	1.851342975
24	1	253	9702	1.997790619
24	1	254	7351	1.937401401
24	1	255	9703	1.997813048
195	2	1	4754	1.842550776
195	2	2	99	1
195	2	3	4803	1.844782351
195	2	4	99	1
195	2	5	4803	1.844782351
195	2	6	148	1.08750423
195	2	7	4851	1.846946418
195	2	9	4756	1.842642311
195	2	10	99	1
195	2	11	4852	1.846991275
195	2	12	99	1
195	2	13	4851	1.846946418
195	2	14	197	1.149742314
195	2	15	4852	1.846991275
195	2	16	99	1
195	2	17	4803	1.844782351
195	2	19	4851	1.846946418
195	2	20	148	1.08750423
195	2	21	4851	1.846946418
195	2	23	4852	1.846991275
195	2	24	99	1
195	2	25	4805	1.844872952
195	2	26	925	1.486314603
195	2	27	4852	1.846991275
195	2	28	2548	1.706824691
195	2	29	4852	1.846991275
195	2	31	4852	1.846991275
195	2	33	4754	1.842550776
195	2	34	99	1
195	2	35	4803	1.844782351
195	2	36	99	1
195	2	37	4757	1.842688063
195	2	38	148	1.08750423
195	2	39	4852	1.846991275
195	2	42	99	1
195	2	43	4852	1.846991275
195	2	44	99	1
195	2	46	197	1.149742314
195	2	47	4853	1.847036122
195	2	48	99	1
195	2	49	4803	1.844782351
195	2	50	3700	1.788003005
195	2	51	4852	1.846991275
195	2	52	148	1.08750423
195	2	53	4852	1.846991275
195	2	55	4852	1.846991275
195	2	56	99	1
195	2	57	4851	1.846946418
195	2	58	3725	1.789468479
195	2	59	4901	1.849178002
195	2	61	4902	1.849222401
195	2	62	4596	1.835195145
195	2	63	4852	1.846991275
195	2	65	4756	1.842642311
195	2	66	99	1
195	2	67	4805	1.844872952
195	2	68	99	1
195	2	69	4851	1.846946418
195	2	70	2548	1.706824691
195	2	71	4852	1.846991275
195	2	72	1	0
195	2	73	4056	1.807994746
195	2	74	99	1
195	2	75	4982	1.852745298
195	2	76	99	1
195	2	77	4851	1.846946418
195	2	78	2597	1.71097
195	2	79	4901	1.849178002
195	2	80	99	1
195	2	81	4852	1.846991275
195	2	82	925	1.486314603
195	2	83	4852	1.846991275
195	2	84	197	1.149742314
195	2	85	4852	1.846991275
195	2	87	4852	1.846991275
195	2	88	99	1
195	2	91	4949	1.851299007
195	2	92	2597	1.71097
195	2	93	4901	1.849178002
195	2	94	3796	1.79357741
195	2	95	4852	1.846991275
195	2	97	4755	1.842596548
195	2	98	99	1
195	2	99	4851	1.846946418
195	2	100	99	1
195	2	103	4902	1.849222401
195	2	104	1	0
195	2	107	5045	1.85547999
195	2	108	99	1
195	2	109	5573	1.8771412
195	2	111	4951	1.851386935
195	2	112	99	1
195	2	113	4852	1.846991275
195	2	114	3725	1.789468479
195	2	115	4901	1.849178002
195	2	116	197	1.149742314
195	2	117	4853	1.847036122
195	2	118	4596	1.835195145
195	2	119	4852	1.846991275
195	2	123	4950	1.851342975
195	2	125	4951	1.851386935
195	2	127	4852	1.846991275
195	2	130	99	1
195	2	131	5099	1.857796967
195	2	132	99	1
195	2	133	5909	1.889881477
195	2	134	148	1.08750423
195	2	138	99	1
195	2	139	9507	1.993372088
195	2	140	99	1
195	2	141	7060	1.928611357
195	2	142	197	1.149742314
195	2	143	9508	1.993394977
195	2	144	99	1
195	2	145	5099	1.857796967
195	2	148	148	1.08750423
195	2	152	99	1
195	2	154	925	1.486314603
195	2	155	9556	1.994490853
195	2	156	2548	1.706824691
195	2	157	7204	1.933005448
195	2	158	4699	1.840018384
195	2	159	9703	1.997813048
195	2	162	99	1
195	2	163	5979	1.892444352
195	2	164	99	1
195	2	166	148	1.08750423
